备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025000268,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20247007,中文名称：/;英文名称：Baxalta US Inc,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000304,中文：曲安奈德口腔软膏;英文/拉丁文：Triamcinolone Acetonide Dental Paste,国药准字HC20181015,中文名称：澳美制药厂有限公司;英文名称：BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,"香港新界元朗工业村宏富街1&8号澳美制药中心(BF PHARMACEUTICAL CENTRE, NO.1&8 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.)",中文名称：澳美制药厂;英文名称：Bright Future Pharmaceuticals Factory,"香港新界元朗工业村宏富街1号澳美制药中心（BF PHARMACEUTICAL CENTRE, NO.1 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.）",深圳澳美制药技术开发有限公司,深圳市南山区粤海街道白石路与沙河西路交界处深圳湾科技生态园一区一期2栋A座4A01,修订说明书的内容，详细如下：1、增加境内责任人相关信息。2、删除“如有问题可与生产企业直接联系。”,2025-02-28,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
Y国备2025000621,中文：硫酸氢氯吡格雷;英文/拉丁文：Clopidogrel Bisulfate,Y20220000596,中文名称：无;英文名称：Dr. Reddy’s Laboratories Ltd.,"8-2-337, Road No.3, Banjara Hills, Hyderabad-500034, Telangana, India.",中文名称：无;英文名称：DR. REDDYS LABORATORIES LIMITED,"CHEMICAL TECHNICAL OPERATIONS-UNIT V, PEDDADEVULAPALLY(V), TRIPURARAM(M), NALGONDA(DIST.),508207 Telangana State, India",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,在原批准批量的基础上，扩大生产批量；与扩大生产批量变更相关的生产区域（变更后的生产区域是已批准的生产场地的一部分）、设备等变更；,2025-03-29,国家药品监督管理局药品审评中心,已备案
国备2025000409,中文：甲磺酸吉米沙星片;英文/拉丁文：Gemifloxacin Mesylate Tablets,国药准字HJ20170326,"中文名称：/;英文名称：LG Chem, Ltd.","151, Osongsaengmyeong 1-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea","中文名称：/;英文名称：LG Chem, Ltd.","151, Osongsaengmyeong 1-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea",爱尔集健生科技（北京）有限公司,北京市朝阳区建国门外大街乙12号双子座大厦西塔21层2107单元,"根据“国家药监局关于修订甲磺酸吉米沙星片说明书的公告（2025年第13号）”对说明书内容进行统一修订。即黑框警告项下修订为以下内容：
警告：
严重不良反应，包括肌腱炎和肌腱断裂，周围神经病变，中枢神经系统的影响和重症肌无力加剧。
·使用氟喹诺酮类药品(包括本品)，已有报告同时发生致残和潜在的不可逆转的严重不良反应(参见【注意事项】)，包括：
- 肌腱炎和肌腱断裂(参见【注意事项】)
- 周围神经病变(参见【注意事项】)
- 中枢神经系统的影响(参见【注意事项】)
- 主动脉瘤和主动脉夹层的风险（参见【注意事项】）
当发生这些严重不良反应(参见【注意事项】)，应立即停用本品并避免使用氟喹诺酮类药品。
· 氟喹诺酮类药品可能会加剧重症肌无力患者的肌无力症状。已知有重症肌无力病史的患者应避免使用本品(参见【注意事项】)。
· 本品可发生严重的皮肤反应，如多形性红斑、中毒性表皮坏死松解症和史蒂文斯—约翰逊综合征。皮疹更常见于40岁以下的患者，特别是女性及接受激素替代疗法的女性。皮疹的发生率在治疗时间超过5天，尤其是超过7天的患者中更高，有的患者可在停药治疗后数天发生（参见【不良反应】和【注意事项】）。
· 由于使用氟喹诺酮类药品（包括甲磺酸吉米沙星片）已有报道发生严重不良反应(参见【注意事项】)。对于属于下列适应症的患者，应在没有其他药品治疗时方可使用本品：
- 急性细菌性鼻窦炎(参见【适应症】和【用法用量】)
- 慢性支气管炎急性发作(参见【适应症】和【用法用量】)",2025-03-08,国家药品监督管理局药品审评中心,已备案
国备2025000408,中文：甲磺酸吉米沙星片;英文/拉丁文：Gemifloxacin Mesylate Tablets,国药准字HJ20170329,"中文名称：/;英文名称：LG Chem, Ltd.","151, Osongsaengmyeong 1-ro, Osong-eup, Heungdeok-gu, Cheongju-si,Chungcheongbuk-do, Republic of Korea","中文名称：/;英文名称：LG Chem, Ltd.","151, Osongsaengmyeong 1-ro, Osong-eup, Heungdeok-gu, Cheongju-si,Chungcheongbuk-do, Republic of Korea",爱尔集健生科技（北京）有限公司,北京市朝阳区建国门外大街乙12号双子座大厦西塔21层2107单元,"根据“国家药监局关于修订甲磺酸吉米沙星片说明书的公告（2025年第13号）”对说明书内容进行统一修订。即黑框警告项下修订为以下内容：
警告：
严重不良反应，包括肌腱炎和肌腱断裂，周围神经病变，中枢神经系统的影响和重症肌无力加剧。
·使用氟喹诺酮类药品(包括本品)，已有报告同时发生致残和潜在的不可逆转的严重不良反应(参见【注意事项】)，包括：
- 肌腱炎和肌腱断裂(参见【注意事项】)
- 周围神经病变(参见【注意事项】)
- 中枢神经系统的影响(参见【注意事项】)
- 主动脉瘤和主动脉夹层的风险（参见【注意事项】）
当发生这些严重不良反应(参见【注意事项】)，应立即停用本品并避免使用氟喹诺酮类药品。
· 氟喹诺酮类药品可能会加剧重症肌无力患者的肌无力症状。已知有重症肌无力病史的患者应避免使用本品(参见【注意事项】)。
· 本品可发生严重的皮肤反应，如多形性红斑、中毒性表皮坏死松解症和史蒂文斯—约翰逊综合征。皮疹更常见于40岁以下的患者，特别是女性及接受激素替代疗法的女性。皮疹的发生率在治疗时间超过5天，尤其是超过7天的患者中更高，有的患者可在停药治疗后数天发生（参见【不良反应】和【注意事项】）。
· 由于使用氟喹诺酮类药品（包括甲磺酸吉米沙星片）已有报道发生严重不良反应(参见【注意事项】)。对于属于下列适应症的患者，应在没有其他药品治疗时方可使用本品：
- 急性细菌性鼻窦炎(参见【适应症】和【用法用量】)
- 慢性支气管炎急性发作(参见【适应症】和【用法用量】)",2025-03-08,国家药品监督管理局药品审评中心,已备案
国备2025000379,中文：依瑞奈尤单抗注射液;英文/拉丁文：Erenumab Injection,国药准字SJ20230014,中文名称：无;英文名称：Novartis Europharm Limited,"Vista Building, Elm Park, Merrion Road, Dublin 4, Ireland",中文名称：无;英文名称：Amgen Manufacturing Limited LLC,"State Road 31, Km 24.6 Juncos, Puerto Rico, 00777-4060, United States",北京诺华制药有限公司,北京市昌平区永安路31号,"1. 本品制剂的生产企业法人实体名称发生变更，由“Amgen Manufacturing Limited"" 变更为 ""Amgen Manufacturing Limited LLC"", 生产场所地点、地址和场所职责保持不变。此工厂同时也是原液过程中控制放行和稳定性检测场所。2. 对制剂分析方法编号进行编辑性更新。3. 对模块 [3.2.A.1_AML] 进行了更新，以体现新的生产场所名称。4. 根据国家药监局2024年11月13日发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》，并结合此次变更内容对说明书和标签进行相关变更。",2025-03-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000427,中文：盐酸氮䓬斯汀滴眼液;英文/拉丁文：Azelastine Hydrochloride Eye Drops,国药准字HJ20230059,中文名称：无;英文名称：URSAPHARM Arzneimittel GmbH,"Industriestraße 35, 66129 Saarbrücken, Germany",中文名称：无;英文名称：URSAPHARM Arzneimittel GmbH,"Industriestraße 35, 66129 Saarbrücken, Germany",深圳市瑞霖医药有限公司,深圳市光明区凤凰街道凤凰社区汇通路７号万和科技大厦Ｂ栋九层,"将本品最终印刷版说明书和标签进行备案。
1. 根据2025年2月24日国家药品监督管理局药品审评中心对本品原备案公示件（备案号：国备2023001844；备案日期：2023-09-12）的审查批复，取消说明书、小盒和瓶签上的“通过一致性评价标识”。
2. 小盒参照说明书内容增加描述：“首次开启后 请于12周内使用”。
3. 根据国家药监局发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号），指定本品境内责任人为原境内联系人：深圳市瑞霖医药有限公司，并在说明书和小盒中新增【境内责任人】信息。",2025-03-12,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000292,中文：帕妥珠曲妥珠单抗注射液（皮下注射）;英文/拉丁文：Pertuzumab and Trastuzumab Injection(Subcutaneous Injection),国药准字SJ20230020,中文名称：/;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：/;英文名称：F. Hoffmann-La Roche Ltd,"Wurmisweg, 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,为本品曲妥珠原液放行检测中的生物负荷检项引入可选的自动菌落计数器方法，可接受标准无变更。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000437,中文：沙库巴曲缬沙坦钠片;英文/拉丁文：Sacubitril Valsartan Sodium Tablets,国药准字HJ20170362,中文名称：无;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称：无;英文名称：Novartis Farma S.p.A.,"Via Provinciale Schito 131,80058 Torre Annunziata, Italy",北京诺华制药有限公司,北京市昌平区永安路31号,"备案本品分包装说明书以下事项：
1. 根据已批准药品注册标准JX20250024更新药品说明书中【执行标准】的内容为药品注册标准JX20250024。
2. 根据《境外药品上市许可持有人指定境内责任人管理暂行规定》更新说明书中【境内联系机构】为【境内联系人/境内责任人】。",2025-03-12,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000485,中文：雌二醇地屈孕酮片;英文/拉丁文：Estradiol and Dydrogesterone Tablets,国药准字HJ20240082,中文名称：/;英文名称：Abbott B.V.,"Wegalaan 9, 2132 JD Hoofddorp, The Netherlands",中文名称：/;英文名称：Abbott Biologicals B.V.,"Veerweg 12, 8121 AA Olst, The Netherlands",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,将本品的注册代理机构由“雅培贸易（上海）有限公司，地址：中国（上海）自由贸易试验区美盛路56号4号楼109部位”变更为“上海雅培制药有限公司，地址：上海市奉贤区海湾镇五四公路1288号”。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000494,中文：依托考昔片;英文/拉丁文：Etoricoxib Tablets,国药准字HJ20181029,中文名称：不适用;英文名称：N.V. Organon,"Kloosterstraat 6, 5349 AB Oss The Netherlands",中文名称：不适用;英文名称：Rovi Pharma Industrial Services S.A.,"Via Complutense 140 28805 Alcala De Henares Madrid, Spain",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,在原有包装规格的基础上增加7片/盒的包装规格。此变更不影响依托考昔片的生产工艺或质量，因此不会对产品的质量，安全性和有效性产生任何不良影响。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000438,中文：沙库巴曲缬沙坦钠片;英文/拉丁文：Sacubitril Valsartan Sodium Tablets,国药准字HJ20170364,中文名称：无;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称：无;英文名称：Novartis Farma S.p.A.,"Via Provinciale Schito 131,80058 Torre Annunziata, Italy",北京诺华制药有限公司,北京市昌平区永安路31号,"备案本品分包装说明书以下事项：
1. 根据已批准药品注册标准JX20250024更新药品说明书中【执行标准】的内容为药品注册标准JX20250024。
2. 根据《境外药品上市许可持有人指定境内责任人管理暂行规定》更新说明书中【境内联系机构】为【境内联系人/境内责任人】。",2025-03-12,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000493,中文：依托考昔片;英文/拉丁文：Etoricoxib Tablets,国药准字HJ20181028,中文名称：不适用;英文名称：N.V. Organon,"Kloosterstraat 6, 5349 AB Oss The Netherlands",中文名称：不适用;英文名称：Rovi Pharma Industrial Services S.A.,"Via Complutense 140 28805 Alcala De Henares Madrid, Spain",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,在原有包装规格的基础上增加7片×2板/盒的包装规格。此变更不影响依托考昔片的生产工艺或质量，因此不会对产品的质量，安全性和有效性产生任何不良影响。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000492,中文：依托考昔片;英文/拉丁文：Etoricoxib Tablets,国药准字HJ20181027,中文名称：不适用;英文名称：N.V. Organon,"Kloosterstraat 6, 5349 AB Oss The Netherlands",中文名称：不适用;英文名称：Rovi Pharma Industrial Services S.A.,"Via Complutense 140 28805 Alcala De Henares Madrid, Spain",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,在原有包装规格的基础上增加14片×2板/盒的包装规格。此变更不影响依托考昔片的生产工艺或质量，因此不会对产品的质量，安全性和有效性产生任何不良影响。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000429,中文：重酒石酸卡巴拉汀胶囊;英文/拉丁文：Rivastigmine Hydrogen Tartrate Capsules,国药准字HJ20181097,中文名称：————;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra-396193 U.T. of Dadra and Nagar Haveliand Daman and Diu, India",中文名称：————;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra-396193 U.T. of Dadra and Nagar Haveliand Daman and Diu, India",盛发药业（上海）有限公司,上海市徐汇区中山西路1800号4D室,"1. 删除外标签（小盒）和说明书中的【境内联系人】。
2. 在外标签（小盒）和说明书中增加【境内责任人】。",2025-03-12,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000483,中文：地屈孕酮片;英文/拉丁文：Dydrogesterone Tablets,国药准字HJ20170221,中文名称：/;英文名称：Abbott B.V.,"Wegalaan 9, 2132 JD Hoofddorp, The Netherlands",中文名称：/;英文名称：Abbott Biologicals B.V.,"Veerweg 12, 8121 AA OLST, the Netherlands",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,将本品的注册代理机构由“雅培贸易（上海）有限公司，地址：中国（上海）自由贸易试验区美盛路56号4号楼109部位”变更为“上海雅培制药有限公司，地址：上海市奉贤区海湾镇五四公路1288号”。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000491,中文：依托考昔片;英文/拉丁文：Etoricoxib Tablets,国药准字HJ20181026,中文名称：不适用;英文名称：N.V. Organon,"Kloosterstraat 6, 5349 AB Oss The Netherlands",中文名称：不适用;英文名称：Rovi Pharma Industrial Services S.A.,"Via Complutense 140 28805 Alcala De Henares Madrid, Spain",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,在原有包装规格的基础上增加14片×2板/盒的包装规格。此变更不影响依托考昔片的生产工艺或质量，因此不会对产品的质量，安全性和有效性产生任何不良影响。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000703,中文：注射用亚胺培南西司他丁钠;英文/拉丁文：Imipenem and Cilastatin Sodium for injection,国药准字HJ20160502,中文名称：/;英文名称：JW PHARMACEUTICAL CORPORATION,"38, Gwacheon-daero 7-gil, Gwacheon-si, Gyeonggi-do, Republic of Korea",中文名称：/;英文名称：JW PHARMACEUTICAL CORPORATION,"56, Hanjin 1-gil, Songak-eup, Dangjin-si, Chungcheongnam-do, Republic of Korea",泊诺（天津）创新医药研究有限公司,天津自贸试验区（东疆保税港区）呼伦贝尔路426号铭海中心4号楼-3、7-901(存在多址信息）,"1.可见异物检查项，修订为“取本品5 瓶，用 60℃预热的 0.9%氯化钠溶液溶解制成每 1ml 约含亚胺培南 25mg 的溶液（如需要，60℃水浴溶解），依法检查（中国药典 2020 年版四部通则 0904），应符合规定。”，细化60℃水浴操作；
2.不溶性微粒检查项，修订为“取本品4瓶，加水溶解并稀释成每1ml含亚胺培南和西司他丁各5mg的溶液（如需要，60℃水浴溶解），依法检查（中国药典2020年版四部通则0903），每瓶中含10μm及10μm以上的微粒不得过6000粒，含25μm及25μm以上的微粒不得过600粒。”，细化60℃水浴操作；
3.有关物质I检查项中系统适用性溶液3的制备修订为“取亚胺培南对照品约 5mg，精密称定，置 10ml 容量瓶中，加 0.005mol/L 硫酸 8ml 使溶解，室温振摇 5 分钟，精密加入碳酸钠 10mg，用水稀释至刻度，摇匀。”，制备过程明确10ml容量瓶；
4.有关物质I检查项中西司他丁限度项下西司他丁杂质E限度描述修订为“西司他丁杂质E按校正后峰面积（乘以校正因子4.3）计算，不得过西司他丁标示量的0.3%”；西司他丁杂质B的限度描述修订为“西司他丁杂质B按校正后峰面积（乘以校正因子1.3）计算，不得过西司他丁标示量的0.15%”，修订校正因子与表格描述中一致。
上述修订不涉及检验方法变更。",2025-04-08,国家药品监督管理局药品审评中心,经审查，本次备案内容涉及注册标准检测方法变更，持有人应按照补充申请进行申报。取消本次备案。
Y国备2025000452,中文：环磷酰胺;英文/拉丁文：Cyclophosphamide,Y20210000587,中文名称：MSN Laboratories Private Limited;英文名称：MSN Laboratories Private Limited,"Unit-II, Sy.Nos, 50, 53, 53/A, 54&54/A. Kardanur(Village), Patancheru(Mandal), Sangareddy District, Telangana, Pincode 502300, India",中文名称：MSN Laboratories Private Limited;英文名称：MSN Laboratories Private Limited,"Unit-II, Sy.Nos, 50, 53, 53/A, 54&54/A. Kardanur(Village), Patancheru(Mandal), Sangareddy District, Telangana, Pincode 502300, India",颐德药业（上海）有限公司,中国（上海）自由贸易试验区华申路198号1幢四层C-22室,"（1），企业生产地址由“Unit-II, Sy.No.50, Kardanur(Village), Patancheru(Mandal), Sangareddy District, Telangana, Pincode-502300, India”变更为“Unit-II, Sy.Nos, 50, 53, 53/A, 54&54/A. Kardanur(Village), Patancheru(Mandal), Sangareddy District, Telangana, Pincode 502300, India”。
（2），包装规格由“0.5Kg/桶，1Kg/桶，2Kg/桶，4Kg/桶，5Kg/桶，7Kg/桶，10Kg/桶”变更为“0.2Kg/桶，0.5Kg/桶，1Kg/桶，2Kg/桶，3Kg/桶，4Kg/桶，5Kg/桶，6Kg/桶，7Kg/桶，8Kg/桶，9Kg/桶，10Kg/桶”。",2025-03-13,国家药品监督管理局药品审评中心,已备案
国备2025000412,中文：盐酸伊普可泮胶囊;英文/拉丁文：Iptacopan Hydrochloride Capsules,国药准字HJ20240016,中文名称： 无;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称： 无;英文名称：Novartis Pharma Produktions GmbH,"Oeflinger Str. 44, 79664 Wehr, Germany",北京诺华制药有限公司,北京市昌平区永安路31号,"1）基于本品36个月的长期稳定性研究结果，变更盐酸伊普可泮胶囊的有效期，由24个月延长至36个月，同步修订本品说明书、包装标签和药品注册标准（JX20240021）中【有效期】项下相关内容；2）根据国家药品监督管理局发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》（2024年第137号），在说明书中增加“境内责任人”，修订后内容为""【境内联系人/境内责任人】""，其他内容保持不变。",2025-03-08,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000428,中文：重酒石酸卡巴拉汀胶囊;英文/拉丁文：Rivastigmine Hydrogen Tartrate Capsules,国药准字HJ20181098,中文名称：————;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra-396193 U.T. of Dadra and Nagar Haveliand Daman and Diu, India",中文名称：————;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra-396193 U.T. of Dadra and Nagar Haveliand Daman and Diu, India",盛发药业（上海）有限公司,上海市徐汇区中山西路1800号4D室,"1. 删除外标签（小盒）和说明书中的【境内联系人】。
2. 在外标签（小盒）和说明书中增加【境内责任人】。",2025-03-12,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000575,中文：乙酰半胱氨酸泡腾片;英文/拉丁文：Acetylcysteine Effervescent Tablets,国药准字HC20220001,中文名称：健乔信元医药生技股份有限公司;英文名称：Synmosa Biopharma Corporation,台湾新竹县湖口乡工业一路6号,中文名称：健乔信元医药生技股份有限公司健乔厂;英文名称：健乔信元医药生技股份有限公司健乔厂,中国台湾新竹县湖口乡中兴村工业一路6号,昆山健茂贸易有限公司,江苏省昆山开发区碧景苑78号楼6号房,港澳台生产药品注册代理机构由“北京知和爱康医药科技有限公司”变更为“昆山健茂贸易有限公司”,2025-03-28,国家药品监督管理局药品审评中心,已备案
国备2025000487,中文：雌二醇片/雌二醇地屈孕酮片复合包装;英文/拉丁文：Complex Packing Estradiol Tablets/Estradiol and Dydrogesterone Tablets,国药准字HJ20150345,中文名称：/;英文名称：Abbott B.V.,"Wegalaan 9, 2132 JD Hoofddorp, The Netherlands",中文名称：/;英文名称：Abbott Biologicals B.V.,"Veerweg 12, 8121 AA OLST, The Netherlands",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,将本品的注册代理机构由“雅培贸易（上海）有限公司，地址：中国（上海）自由贸易试验区美盛路56号4号楼109部位”变更为“上海雅培制药有限公司，地址：上海市奉贤区海湾镇五四公路1288号”。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000488,中文：雌二醇片/雌二醇地屈孕酮片复合包装;英文/拉丁文：Complex Packing Estradiol Tablets/Estradiol and Dydrogesterone Tablets,H20150346,中文名称：/;英文名称：Abbott B.V.,"Wegalaan 9, 2132 JD Hoofddorp, The Netherlands",中文名称：/;英文名称：Abbott Biologicals B.V.,"Veerweg 12, 8121 AA OLST, The Netherlands",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,将本品的注册代理机构由“雅培贸易（上海）有限公司，地址：中国（上海）自由贸易试验区美盛路56号4号楼109部位”变更为“上海雅培制药有限公司，地址：上海市奉贤区海湾镇五四公路1288号”。,2025-03-19,国家药品监督管理局药品审评中心,已备案
国备2025000401,中文：他克莫司颗粒;英文/拉丁文：Tacrolimus Granules,国药准字HJ20200034,中文名称：不适用;英文名称：Astellas Pharma Europe B.V.,"Sylviusweg 62, 2333 BE Leiden, Netherlands",中文名称：不适用;英文名称：Astellas Pharma Inc. Toyama Technology Center,"2-178 Kojin-machi, Toyama City, Toyama 930-0809, Japan",安斯泰来（中国）投资有限公司,北京市朝阳区建国门外大街8号楼27层2302单元27010室,申请进口药品他克莫司颗粒（0.2mg和1mg）在国内分包装，分包装规格：50袋/盒；分包装厂：安斯泰来制药（中国）有限公司，分包装厂地址：沈阳经济技术开发区10号路6甲3号；分包装工艺：小袋装盒、装说明书。,2025-03-08,国家药品监督管理局药品审评中心,已备案
国备2025000400,中文：他克莫司颗粒;英文/拉丁文：Tacrolimus Granules,国药准字HJ20200033,中文名称：不适用;英文名称：Astellas Pharma Europe B.V.,"Sylviusweg 62, 2333 BE Leiden, Netherlands",中文名称：不适用;英文名称：Astellas Pharma Inc. Toyama Technology Center,"2-178 Kojin-machi, Toyama City, Toyama 930-0809, Japan",安斯泰来（中国）投资有限公司,北京市朝阳区建国门外大街8号楼27层2302单元27010室,申请进口药品他克莫司颗粒（0.2mg和1mg）在国内分包装，分包装规格：50袋/盒；分包装厂：安斯泰来制药（中国）有限公司，分包装厂地址：沈阳经济技术开发区10号路6甲3号；分包装工艺：小袋装盒、装说明书。,2025-03-08,国家药品监督管理局药品审评中心,已备案
国备2025000950,中文：波生坦片;英文/拉丁文：Bosentan Tablets,国药准字HJ20250001,中文名称：无;英文名称：Dr. Reddy’s Laboratories Limited,"Formulation Tech Ops Ⅱ, Survey No 42p,43,44p,45p,46p,53,54 & 83, Bachupally Village, Bachupally Mandal, Medchal Malkajgiri District - 500090, Telangana State, India",中文名称：无;英文名称：Dr. Reddy’s Laboratories Limited,"Formulation Tech Ops Ⅱ, Survey No 42p,43,44p,45p,46p,53,54 & 83, Bachupally Village, Bachupally Mandal, Medchal Malkajgiri District - 500090, Telangana State, India",昆山龙灯瑞迪制药有限公司,江苏省昆山开发区黄浦江中路2158号,"1. 根据国家局《关于“通过一致性评价”标识使用有关事宜的说明》，在波生坦片药品标签中增加“通过一致性评价”标识。
2. 在波生坦片药品标签中增加注册商标。
3. 增加波生坦片的运输包装标签。
4. 根据更新的药品证明性文件，波生坦片药品注册证书（证书编号：2025S00004）中药品许可持有人和生产企业英文名称由“DR. REDDYS LABORATORIES LTD”变更为“Dr. Reddy’s Laboratories Limited”，药品许可持有人和生产企业地址名称由“FORMULATIONS UNIT-II, SURVEY NO.42, 45 46, BACHUPALLY (VILLAGE), BACHUPALLY (MANDAL), MEDCHAL MALKAJGIRI (DIST.), TELANGANA, INDIA”变更为“Formulation Tech Ops Ⅱ, Survey No 42p,43,44p,45p,46p,53,54 & 83, Bachupally Village, Bachupally Mandal, Medchal Malkajgiri District - 500090, Telangana State, India”，上市许可持有人和生产企业的主体和实际地址不变。
5. 根据上述变更内容，申请对修订后的药品说明书和药品标签备案。",2025-05-08,国家药品监督管理局药品审评中心,已备案
国备2025000439,中文：沙库巴曲缬沙坦钠片;英文/拉丁文：Sacubitril Valsartan Sodium Tablets,国药准字HJ20170363,中文名称：无;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称：无;英文名称：Novartis Farma S.p.A.,"Via Provinciale Schito 131,80058 Torre Annunziata, Italy",北京诺华制药有限公司,北京市昌平区永安路31号,"备案本品分包装说明书以下事项：
1. 根据已批准药品注册标准JX20250024更新药品说明书中【执行标准】的内容为药品注册标准JX20250024。
2. 根据《境外药品上市许可持有人指定境内责任人管理暂行规定》更新说明书中【境内联系机构】为【境内联系人/境内责任人】。",2025-03-12,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
