备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001961,中文：活络油 ;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,将每瓶装60ml规格的有效期由“24个月”变更为“36个月”，同时对药品说明书及包装标签中【有效期】项做相应修订。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025002024,中文：盐酸哌甲酯缓释片;英文/拉丁文：Methylphenidate Hydrochloride Prolonged-Release Tablets,国药准字HJ20170263,"中文名称：Janssen Pharmaceuticals, Inc.;英文名称：Janssen Pharmaceuticals, Inc.","1125 Trenton-Harbourton Road, Titusville, NJ 08560 United States of America","中文名称：Janssen-Cilag Manufacturing, LLC;英文名称：Janssen-Cilag Manufacturing, LLC","State Road 933, KM 0.1, Mamey Ward, Gurabo, PUERTO RICO 00778, United States (USA)",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025001916,中文：左甲状腺素钠片;英文/拉丁文：Levothyroxine Sodium Tablets,HJ20240063,中文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A;英文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A,"14th km National Road 1, Kifissia GR-145 64，Greece",中文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A;英文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A,"Building B 14th km National Road 1, Kifissia GR-145 64 Greece",广东利玮医药有限公司,广东省广州市越秀区先烈中路100号大院23栋之一418房,在药品说明书中增加【境内责任人】信息。,2025-08-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001949,中文：注射用头孢唑林钠;英文/拉丁文：Cefazolin Sodium for Injection,国药准字HC20250003,中文名称：信东生技股份有限公司;英文名称：Taiwan Biotech Co.，Ltd.,"中国台湾桃园市桃园区丰林里介寿路22号（No.22，Chieh-Shou Rd.，Feng-Lin Vil.，Taoyuan Dist.,Taoyuan City, Taiwan, China)",中文名称：信东生技股份有限公司观音厂;英文名称：Taiwan Biotech Co.，Ltd. Kuan Yin Plant,"中国台湾桃园市观音区树林里国建1路1号（No.1,Kwo Chien 1st Rd.，Shu Lin Vil.，Kuan Yin Dist.，Taoyuan City，Taiwan, China)",杭州新博思生物医药有限公司,浙江省杭州市余杭区仓前街道文一西路1378号A座3层,1、根据稳定性考察结果，本品有效期由18个月延长至24个月，本品注册标准和说明书中有效期同步更新为24个月。2、变更注册标准：本品注册标准引用的中国药典四部通则，药典版本从“2020年版”变更为“2025年版”；按中国药典2025年版四部变更【不溶性微粒】的取样量；删除【有关物质】中ZLN-IMPL的RRT；变更ZLN-IMPA和ZLN-IMPE的分子量。3、变更原料药的内控标准：原料药内控标准引用的中国药典四部通则，药典版本从“2020年版”变更为“2025年版”；删除【有关物质】中ZLN-IMPL的RRT；变更头孢唑林钠、ZLN-IMPA和ZLN-IMPE的分子量。,2025-08-08,国家药品监督管理局药品审评中心,已备案
国备2025001934,中文：小儿珠珀散(原名:珠珀猴枣散);英文/拉丁文：无,国药准字ZC201600014,中文名称：香港保和堂制药有限公司;英文名称：HONG KONG PO WO TONG PHARMACEUTICAL LIMITED,新界青山公路 - 荃湾段603-609号江南工业大厦B座6楼,中文名称：香港保和堂制药有限公司;英文名称：HONG KONG PO WO TONG PHARMACEUTICAL LIMITED,新界青山公路 - 荃湾段603-609号江南工业大厦B座6楼,山西九康医药科技有限公司,山西转型综合改革示范区唐槐产业园真武路200号南楼4层409、410、411、412室,修订说明书和标签：增加“境内责任人”，修订“执行标准”，药品名称由“小儿珠珀散（原名称：珠珀猴枣散）”修订为“小儿珠珀散（原名：珠珀猴枣散）”，增加1瓶/盒为最小销售单元。,2025-08-07,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001907,中文：利妥昔单抗注射液（皮下注射）;英文/拉丁文：Rituximab Injection (Subcutaneous Injection),国药准字SJ20240013,中文名称：/;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：/;英文名称：F. Hoffmann-La Roche AG,"Wurmisweg, 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,"变更本品利妥昔单抗注射液（皮下注射）原液生产厂名称，从Genentech, Inc. 变更为Lonza Manufacturing LLC，实际生产地址不变，并相应地更新制造及检定规程中原液生产企业信息。",2025-08-05,国家药品监督管理局药品审评中心,已备案
国备2025002035,中文：尼拉帕利阿比特龙片;英文/拉丁文：Niraparib Tosylate and Abiraterone Acetate Tablets,国药准字HJ20240111,中文名称：/;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30, B-2340 Beerse, Belgium",中文名称：/;英文名称：Patheon France,40 Boulevard de Champaret 38300 Bourgoin-Jallieu France,西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025002034,中文：尼拉帕利阿比特龙片;英文/拉丁文：Niraparib Tosylate and Abiraterone Acetate Tablets,国药准字HJ20240110,中文名称：/;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30, B-2340 Beerse, Belgium",中文名称：/;英文名称：Patheon France,40 Boulevard de Champaret 38300 Bourgoin-Jallieu France,西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025002380,中文：枸橼酸托法替布片;英文/拉丁文：Tofacitinib Citrate Tablets,国药准字HJ20181078 国药准字HJ20181079 国药准字HJ20181080,中文名称：Pfizer Europe MA EEIG;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17, 1050 Bruxelles, Belgium",中文名称：Pfizer Manufacturing Deutschland GmbH;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,在当前批准的 Pfizer Asia Manufacturing Pte Ltd 原料药生产厂（Pfizer Tuas）新增托法替布原料药生产大楼，及其关联的生产工艺设备的微小变更。拟定变更的实施不会对托法替布原料药和尚杰制剂的质量、安全性和有效性产生不利影响。,2025-09-19,国家药品监督管理局药品审评中心,已备案
国备2025001952,中文：盐酸伊普可泮胶囊;英文/拉丁文：Iptacopan Hydrochloride Capsules,国药准字HJ20240016,中文名称： 无;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称： 无;英文名称：Novartis Pharma Produktions GmbH,"Oeflinger Str. 44, 79664 Wehr, Germany",北京诺华制药有限公司,北京市昌平区永安路31号,1）增加原料药中间体的生产商，并对中间体生产工艺进行相应的微小关联变更，以反映新的生产商使用的额外设备材料和替代水（软水）质；2）增加起始物料的生产商，并增加起始物料中有关物质检测的替代检测方法的关联变更。新生产商的中间体和起始物料的质量控制方法和质量标准保持不变。变更对最终原料药质量无影响，原料药的杂质谱保持不变，最终原料药的质量控制及其贮存条件保持不变。,2025-08-08,国家药品监督管理局药品审评中心,经审查，本品原料药为分段生产，本次备案新增关键中间体（主链RVK968-AF）和主链起始物料的供应商，涉及关键中间体生产场地、生产设备等多个变更，属于重大变更，请持有人按照补充申请申报。取消本次备案事项。
国备2025002048,中文：依那西普注射液;英文/拉丁文：Etanercept Solution for Injection,国药准字SJ20170049,中文名称：Pfizer Europe MA EEIG;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17, 1050 Bruxelles, Belgium",中文名称：Pfizer Manufacturing Belgium NV;英文名称：Pfizer Manufacturing Belgium NV,"Rijksweg 12, 2870 Puurs-Sint-Amands, Belgium",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"1. 变更本品质量标准中原料药和制剂检验项下《中国药典》版本，从“现行”或“2015年”更新为“2025年”，从而使本品进口药品注册标准符合《中国药典》2025年版的要求。说明书【执行标准】项药典版本更新，仅涉及版本内容变更，方法及限度均保持不变。 
2. 变更本品说明书中境内责任人部分内容，以符合药审中心2025年5月9日在共性问题常见性一般技术问题解答中对于境内责任人的格式要求。仅涉及文字变更，境内责任人实体保持不变。",2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002049,中文：依那西普注射液;英文/拉丁文：Etanercept Solution for Injection,国药准字SJ20170048,中文名称：Pfizer Europe MA EEIG;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17, 1050 Bruxelles, Belgium",中文名称：Pfizer Manufacturing Belgium NV;英文名称：Pfizer Manufacturing Belgium NV,"Rijksweg 12, 2870 Puurs-Sint-Amands, Belgium",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"1. 变更本品质量标准中原料药和制剂检验项下《中国药典》版本，从“现行”或“2015年”更新为“2025年”，从而使本品进口药品注册标准符合《中国药典》2025年版的要求。说明书【执行标准】项药典版本更新，仅涉及版本内容变更，方法及限度均保持不变。
2. 变更本品说明书中境内责任人部分内容，以符合药审中心2025年5月9日在共性问题常见性一般技术问题解答中对于境内责任人的格式要求。仅涉及文字变更，境内责任人实体保持不变。",2025-08-21,国家药品监督管理局药品审评中心,已备案
Y国备2025001896,中文：拉莫三嗪;英文/拉丁文：Lamotrigine,Y20210000596,中文名称：Cohance Lifesciences Limited;英文名称：Cohance Lifesciences Limited,"R. S. 50/1, Mukteswarapuram (V) , Jaggaiahpet (M) , NTR District-521 457.A.P，India.","中文名称：Cohance Lifesciences Limited,API Unit-I;英文名称：Cohance Lifesciences Limited,API Unit-I","R. S. 50/1, Mukteswarapuram (V) , Jaggaiahpet (M) , NTR District-521 457.A.P，India.",泊诺（天津）创新医药研究有限公司,天津自贸试验区（东疆保税港区）呼伦贝尔路426号铭海中心4号楼-3、7-901,延长拉莫三嗪有效期至48个月,2025-08-05,国家药品监督管理局药品审评中心,已备案
国备2025001954,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20210027,中文名称：无;英文名称：Bio Products Laboratory Limited,"Bio Products Laboratory Limited, Dagger Lane, Elstree, Borehamwood, WD6 3BX, United Kingdom",中文名称：无;英文名称：Bio Products Laboratory Limited,"Bio Products Laboratory Limited, Dagger Lane, Elstree, Borehamwood, WD6 3BX, United Kingdom",杭州健生医药有限公司,浙江省杭州市上城区泛海国际中心1幢2001室、2002室、2003室、2004,在Kedrion S.p.A增加了一个新的检测实验室，用于对血浆池进行NAT和血清学检测，以及NAT和血清学检测试剂盒。,2025-09-03,国家药品监督管理局药品审评中心,已备案
国备2025002709,中文：蔗糖羟基氧化铁咀嚼片;英文/拉丁文：Sucroferric Oxyhydroxide Chewable Tablets,国药准字HJ20233131,中文名称：无;英文名称：Vifor Fresenius Medical Care Renal Pharma Ltd.,"Rechenstrasse 37, 9014 St. Gallen, Switzerland",中文名称：无;英文名称：Corden Pharma Fribourg SA,"Route de Moncor 10, 1752 Villars-sur-Glâne, Switzerland",深圳市康哲生物科技有限公司,深圳市南山区南头街道马家龙社区南山大道3186号莲花广场B栋801,本次申请备案事项如下：在已获批的境外制剂生产厂Corden Pharma Fribourg SA内新增包装线，用于30片/瓶产品的初、次级包装。该包装线的包装设备由Uhlmann Pac-Systeme GmbH提供，与原包装线的包装设备具有相同设计和工作原理，不影响产品质量。,2025-10-14,国家药品监督管理局药品审评中心,已备案
国备2025001928,中文：盐酸达利雷生片;英文/拉丁文：Daridorexant Hydrochloride Tablets,国药准字HJ20250073,中文名称：无;英文名称：Idorsia Pharmaceuticals Deutschland GmbH,"Marie-Curie-Strasse 8, 79539 Lörrach, Germany",中文名称：无;英文名称：Farmea,"10 rue Bouché Thomas, ZAC D'Orgemont, 49000 Angers, France",江苏先声药业有限公司,南京市玄武区玄武大道699-18号5幢5层,盐酸达利雷生片50mg在海南先声药业有限公司进行分包装。,2025-08-06,国家药品监督管理局药品审评中心,已备案
国备2025001929,中文：盐酸达利雷生片;英文/拉丁文：Daridorexant Hydrochloride Tablets,国药准字HJ20250072,中文名称：无;英文名称：Idorsia Pharmaceuticals Deutschland GmbH,"Marie-Curie-Strasse 8, 79539 Lörrach, Germany",中文名称：无;英文名称：Farmea,"10 rue Bouché Thomas, ZAC D'Orgemont, 49000 Angers, France",江苏先声药业有限公司,南京市玄武区玄武大道699-18号5幢5层,盐酸达利雷生片25mg在海南先声药业有限公司进行分包装。,2025-08-06,国家药品监督管理局药品审评中心,已备案
国备2025001944,中文：注射用拉布立海;英文/拉丁文：Rasburicase for injection,国药准字SJ20180024,中文名称：Sanofi Winthrop Industrie;英文名称：Sanofi Winthrop Industrie,"82 avenue Raspail, 94250 Gentilly, France",中文名称：Sanofi S.r.l.;英文名称：Sanofi S.r.l.,"Via Valcanello 4, 03012 Anagni (FR), Italy",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,本品原液增加纯化中间体合并液的储存时间。,2025-08-07,国家药品监督管理局药品审评中心,已备案
国备2025001924,中文：泮托拉唑钠肠溶片;英文/拉丁文：Pantoprazole Sodium Enteric-Coated Tablets,国药准字HJ20200064,中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s:411/P, 425/P, 434/P ,435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal, Mahaboobnagar District, Telangana State, India.",中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s:411/P, 425/P, 434/P ,435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal, Mahaboobnagar District, Telangana State, India.",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,"（1）删除片剂中印字，并同步修订质量标准、说明书和标签样稿的性状描述；
（2）在修订性状描述的基础上调整本品外标签（纸盒）样稿样式，文本内容不变",2025-08-06,国家药品监督管理局药品审评中心,已备案
国备2025001962,中文：艾沙妥昔单抗注射液;英文/拉丁文：Isatuximab Injection,国药准字SJ20250001,中文名称：/;英文名称：Sanofi Winthrop Industrie,"82 avenue Raspail, 94250 Gentilly, France",中文名称：/;英文名称：Sanofi-Aventis Deutschland GmbH,"Industriepark Hoechst Brueningstrasse 50 65926 Frankfurt am Main, Germany",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,"引入新的工作细胞库（WCB），并对WCB制备和确认方案进行如下调整：
1. 调整上游工艺性能的可接受标准
2. 更新WCB外源因子检测指示细胞系
3. 更新细胞系遗传稳定性（EPCB）检测的分析方法",2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025001927,中文：唑来膦酸注射液;英文/拉丁文：Zoledronic Acid Injection,国药准字HJ20181132,中文名称：/;英文名称：Sandoz Pharmaceuticals AG,"6343 Risch, Switzerland",中文名称：/;英文名称：Fresenius Kabi Austria GmbH,"Hafnerstrasse 36, 8055 Graz, Austria",爱施健（广东）制药有限公司,中山市火炬开发区会展东路1号德仲广场1幢1803室、1804室,变更本品的境内注册代理机构的公司名称和地址，公司名称由“山德士（中国）制药有限公司”变更为“爱施健（广东）制药有限公司”，公司地址由“广东省中山火炬开发区国家健康基地辉凌路8号”变更为“中山市火炬开发区会展东路1号德仲广场1幢1803室、1804室”。注册代理机构的法律实体未发生变更，仅为名称和地址的行政变更。,2025-08-06,国家药品监督管理局药品审评中心,已备案
国备2025002585,中文：艾加莫德α注射液（皮下注射）;英文/拉丁文：Efgartigimod Alfa Injection (Subcutaneous Injection),国药准字SJ20240029,中文名称：无;英文名称：argenx BV,"Industriepark Zwijnaarde 7, 9052 Zwijnaarde, Belgium",中文名称：无;英文名称：Patheon Italia S.p.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",再鼎医药（上海）有限公司,中国（上海）自由贸易试验区哈雷路899号1幢B座1-3层、5-8层,"1.增加Eurofins Biolab Srl, Via Bruno Buozzi 2, 20055 Vimodrone (MI), Italy，用于制剂的批放行和稳定性检测中玻璃酸酶鉴别和活性检测。
2.将原液和制剂检定厂Lonza AG的行政地址从Hochbergstrasse 60A, CH-4057 Basel, Switzerland变更为Hochbergerstrasse 60G, CH-4057 Basel, Switzerland。 
3.将制剂的质量控制检测场地从已获批的Lonza AG的建筑Hochbergerstrasse 60A和60G, CH-4057 Basel, Switzerland转移至Hochbergerstrasse 60H, CH-4057 Basel, Switzerland。 
4.将《药品注册标准》和《制造及检定规程》中的中国药典版本从2020版更新为2025版，此变更不涉及任何技术变更。",2025-10-01,国家药品监督管理局药品审评中心,已备案
国备2025001948,中文：注射用头孢唑林钠;英文/拉丁文：Cefazolin Sodium for Injection,国药准字HC20250004,中文名称：信东生技股份有限公司;英文名称：Taiwan Biotech Co.，Ltd.,"中国台湾桃园市桃园区丰林里介寿路22号（No.22，Chieh-Shou Rd.，Feng-Lin Vil.，Taoyuan Dist., Taoyuan City, Taiwan, China)",中文名称：信东生技股份有限公司观音厂;英文名称：Taiwan Biotech Co.，Ltd. Kuan Yin Plant,"中国台湾桃园市观音区树林里国建1路1号（No.1, Kwo Chien 1st Rd.，Shu Lin Vil.，Kuan Yin Dist.，Taoyuan City，Taiwan, China)",杭州新博思生物医药有限公司,浙江省杭州市余杭区仓前街道文一西路1378号A座3层,1、根据稳定性考察结果，本品有效期由18个月延长至24个月，本品注册标准和说明书中有效期同步更新为24个月。2、变更注册标准：本品注册标准引用的中国药典四部通则，药典版本从“2020年版”变更为“2025年版”；按中国药典2025年版四部变更【不溶性微粒】的取样量；删除【有关物质】中ZLN-IMPL的RRT；变更ZLN-IMPA和ZLN-IMPE的分子量。3、变更原料药的内控标准：原料药内控标准引用的中国药典四部通则，药典版本从“2020年版”变更为“2025年版”；删除【有关物质】中ZLN-IMPL的RRT；变更头孢唑林钠、ZLN-IMPA和ZLN-IMPE的分子量。,2025-08-08,国家药品监督管理局药品审评中心,已备案
国备2025002140,"中文：戊酸雌二醇片/雌二醇环丙孕酮片复合包装;英文/拉丁文：Complex Packing Estradiol Valerate Tablets, Estradiol Valerate and Cyproterone Acetate Tablets",国药准字HJ20160682,中文名称：-;英文名称：Jenapharm GmbH & Co. KG,"Otto-Schott-Strasse 15 07745 Jena, Germany",中文名称：-;英文名称：Bayer Weimar GmbH & Co. KG,"Döbereinerstrasse 20 99427 Weimar, Germany",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,"对所用戊酸雌二醇原料药的粒度检查方法进行变更：1、删除显微镜法；2、粒度分布限度由""D100≤15μm，D99≤12.5μm，D95≤10.0μm，D50≤3.0μm，粒径≤1.3μm不得过40%”变更为“D90≤6.0μm，D50≤2.5μm，D10≤0.9μm”。",2025-08-28,国家药品监督管理局药品审评中心,已备案
Y国备2025002161,中文：盐酸特拉唑嗪;英文/拉丁文：Terazosin Hydrochloride,Y20170001654,中文名称：无;英文名称：TAPI NL B.V.,"Piet Heinkade 55,the Netherlands-1019 GM Amsterdam，Netherlands",中文名称：无;英文名称：ASSIA CHEMICAL INDUSTRIES LTD.,"Neot-Hovav Eco-Industrial Park, Israel-8412316 Be'er Sheva，Israel",泰佩（北京）医药科技有限公司,北京市朝阳区曙光西里甲5号院22号楼9层（实际楼层为8层）801内901单元,"1.代理机构地址更新；2.本品的持有人Teva Pharmaceutical Industries Ltd.更新为TAPI NL B.V.地址为：Piet Heinkade 55,the Netherlands-1019 GM Amsterdam,Netherlands。3. 生产商ASSIA CHEMICAL INDUSTRIES LTD.的生产地址更新为：Neot-Hovav Eco-Industrial Park, Israel-8412316 Be'er Sheva, 仅微调表述，实际未变更。",2025-08-30,国家药品监督管理局药品审评中心,已备案
国备2025002139,"中文：戊酸雌二醇片/雌二醇环丙孕酮片复合包装;英文/拉丁文：Complex Packing Estradiol Valerate Tablets, Estradiol Valerate and Cyproterone Acetate Tablets",国药准字HJ20160683,中文名称：-;英文名称：Jenapharm GmbH & Co. KG,"Otto-Schott-Strasse 15 07745 Jena, Germany",中文名称：-;英文名称：Bayer Weimar GmbH & Co. KG,"Döbereinerstrasse 20 99427 Weimar, Germany",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,"对所用戊酸雌二醇原料药的粒度检查方法进行变更：1、删除显微镜法；2、粒度分布限度由""D100≤15μm，D99≤12.5μm，D95≤10.0μm，D50≤3.0μm，粒径≤1.3μm不得过40%”变更为“D90≤6.0μm，D50≤2.5μm，D10≤0.9μm”。",2025-08-28,国家药品监督管理局药品审评中心,已备案
Y国备2025002067,中文：利培酮;英文/拉丁文：Risperidone,Y20190009034,中文名称：Janssen Pharmaceutica N.V.;英文名称：Janssen Pharmaceutica N.V.,"Turnhoutseweg 30, Belgium-2340 Beerse, Belgium",中文名称：Janssen Pharmaceutical Sciences Unlimited Company;英文名称：Janssen Pharmaceutical Sciences Unlimited Company,"Little Island Industrial EST.,Little Island,County Cork,Ireland",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002044,中文：利培酮口服液;英文/拉丁文：Risperidone Oral Solution,国药准字HJ20171343,中文名称：Janssen-Cilag N.V.;英文名称：Janssen-Cilag N.V.,"Antwerpseweg 15-17, B-2340 Beerse, Belgium",中文名称：Janssen Pharmaceutica N.V.;英文名称：Janssen Pharmaceutica N.V.,"Turnhoutseweg 30, B-2340 Beerse, Belgium",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025001963,中文：艾沙妥昔单抗注射液;英文/拉丁文：Isatuximab Injection,国药准字SJ20250002,中文名称：/;英文名称：Sanofi Winthrop Industrie,"82 avenue Raspail, 94250 Gentilly, France",中文名称：/;英文名称：Sanofi-Aventis Deutschland GmbH,"Industriepark Hoechst Brueningstrasse 50 65926 Frankfurt am Main, Germany",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,"引入新的工作细胞库（WCB），并对WCB制备和确认方案进行如下调整：
1. 调整上游工艺性能的可接受标准
2. 更新WCB外源因子检测指示细胞系
3. 更新细胞系遗传稳定性（EPCB）检测的分析方法",2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025001946,中文：卤米松乳膏;英文/拉丁文：Halometasone Cream,国药准字HC20181018 国药准字HC20181019,中文名称：澳美制药厂有限公司;英文名称：BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,"香港新界元朗工业村宏富街1&8号澳美制药中心(BF PHARMACEUTICAL CENTRE, NO.1&8 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.)",中文名称：澳美制药厂;英文名称：Bright Future Pharmaceuticals Factory,"香港新界元朗工业村宏富街1号澳美制药中心(BF PHARMACEUTICAL CENTRE, NO.1 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.)",深圳澳美制药技术开发有限公司,深圳市南山区粤海街道白石路与沙河西路交界处深圳湾科技生态园一区一期2栋A座4A01,修订20g、30g小盒的内容，具体如下：1、将批准文号、药品上市许可持有人、注册地址、生产企业、生产地址由一面移至另一面；2、对药品追溯码所在面做如下修订：删除商品名称、药品通用名称、英文名称、包装规格、图案、外用标识，修订澳美制药Logo。,2025-08-08,国家药品监督管理局药品审评中心,已备案
国备2025001968,中文：奥利司他胶囊;英文/拉丁文：Orlistat Capsules,国药准字HJ20171188,中文名称：无;英文名称：Cheplapharm Arzneimittel GmbH,"Ziegelhof 24, 17489 Greifswald, Germany",中文名称：无;英文名称：Delpharm Milano S.r.l.,"Via Carnevale 1, 20054 Segrate (MI), Italy",武汉科利医药有限公司,湖北省武汉市武汉经济技术开发区201M地块华人汇和科技园（华中智谷）一期D4D5栋研发楼15层3室,"非处方药说明书修订如下：1.增加注册商标；2.增加药品英文名称；3. 将境内联系机构和相应信息变更为境内责任人的信息。
根据批准的非处方药说明书内容，重新设计上市销售用非处方药标签。",2025-08-13,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001945,中文：盐酸二甲双胍片;英文/拉丁文：Metformin Hydrochloride Tablets,国药准字HJ20200040,中文名称：不适用;英文名称：MERCK SANTE s.a.s.,"37, rue Saint Romain - 69379 LYON CEDEX 08 - France",中文名称：不适用;英文名称：MERCK SANTE,2 rue du Pressoir Vert - 45400 SEMOY-France,默克雪兰诺有限公司,北京市顺义区保汇一街2号院1号（天竺综合保税区D08-20）,申请增加盐酸二甲双胍片500mg规格进口大包装的包装规格（20千克/桶），及其进口药品注册凭证，仅供默克制药（江苏）有限公司进口本品大包装规格产品，用于在中国境内分包装。,2025-08-08,国家药品监督管理局药品审评中心,已备案
国备2025002250,中文：西罗莫司凝胶;英文/拉丁文：Sirolimus Gel,国药准字HJ20233148,"中文名称：无;英文名称：Nobelpharma Co., Ltd.","1-17-24, Shinkawa, Chuo-ku, Tokyo, 104-0033, Japan","中文名称：无;英文名称：Joto Plant, TOYO Pharmaceutical Co., Ltd.","2-5-4, Tsurumi, Tsurumi-ku, Osaka, Osaka538-0053, Japan",江苏诺贝仁医药有限公司,泰州市医药高新技术产业开发区药城大道一号（药城大道南侧、口泰路东侧）C1幢1605室.,"1.规范本品生产工艺信息表“附件6：原辅包内控标准”的“附：已知杂质信息”的结构式记载，仅为记载方式的修正，原料药杂质结构无实质变更。
2.依据本品已提交的2024年年度报告中提交的微小变更事项，对于生产工艺信息表的“处方”栏的备注中记载的“原料药投料公式”进行修改。
上述变更均对产品质量不产生影响。",2025-09-06,国家药品监督管理局药品审评中心,已备案
